 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[17:35:39]: Forward liquid flow activated
[17:35:39]: Pump W2
 Open valve LRW2
 Open valve V24
 Open valve V4
 Open valve L2_OUT
 Close valve L2_OUT
 Close valve V4
 Close valve V24
 Close valve LRW2
[17:36:09]: Loop start
[17:36:09]: Wash2
 Open valve LRW2
 Open valve V24
 Close valve LRW2
[17:38:26]: dTTP
 Open valve LR4
[17:38:26]: 4672
[17:38:26]: 9290
[17:38:27]: 9249
[17:38:27]: 9229
[17:38:27]: 9262
[17:38:28]: 9200
[17:38:28]: 9161
[17:38:28]: 9138
[17:38:29]: 9135
[17:38:29]: 9065
[17:38:29]: 9041
[17:38:29]: 9037
[17:38:30]: 9095
[17:38:30]: 9034
[17:38:30]: 9022
[17:38:31]: 9061
[17:38:31]: 9048
[17:38:31]: 9028
[17:38:32]: 9018
[17:38:32]: 9102
[17:38:32]: 9102
[17:38:33]: 9071
[17:38:33]: 9083
[17:38:33]: 9078
[17:38:34]: 9065
[17:38:34]: 9061
[17:38:34]: 9155
[17:38:35]: 9162
[17:38:35]: 9148
[17:38:35]: 9136
[17:38:35]: 9148
[17:38:36]: 9170
[17:38:36]: 9171
[17:38:36]: 9187
[17:38:37]: 9236
[17:38:37]: 9257
[17:38:37]: 9258
[17:38:38]: 9249
[17:38:38]: 9242
[17:38:38]: 9272
[17:38:39]: 9292
[17:38:39]: 9265
[17:38:39]: 9261
[17:38:40]: 9271
[17:38:40]: 9300
[17:38:40]: 9368
[17:38:41]: 9366
[17:38:41]: 9366
[17:38:41]: 9388
[17:38:42]: 9423
[17:38:42]: 9454
[17:38:42]: 9472
[17:38:42]: 9462
[17:38:43]: 9455
[17:38:43]: 9465
[17:38:43]: 9485
[17:38:44]: 9484
[17:38:44]: 9469
[17:38:44]: 9468
[17:38:45]: 9485
 Close valve LR4
[17:38:45]: Wash2
 Open valve LRW2
 Open valve V24
[17:38:45]: 9529
[17:38:46]: 9490
[17:38:46]: 9482
[17:38:46]: 9484
[17:38:47]: 9491
[17:38:47]: 9498
[17:38:47]: 9499
[17:38:47]: 9435
[17:38:48]: 9535
[17:38:48]: 9479
[17:38:48]: 9477
[17:38:49]: 9451
[17:38:49]: 9420
[17:38:49]: 9381
[17:38:50]: 8957
[17:38:50]: 9098
[17:38:50]: 9273
[17:38:51]: 7801
[17:38:51]: 5724
[17:38:51]: 5449
[17:38:52]: 5381
[17:38:52]: 5343
[17:38:52]: 5321
[17:38:53]: 5293
[17:38:53]: 5217
[17:38:53]: 5200
[17:38:54]: 5195
[17:38:54]: 5197
