 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[19:45:28]: Forward liquid flow activated
[19:45:28]: AIR
 Open valve HP_OUT
 Open valve L_HP
 Open valve V24
 Close valve V24
 Close valve L_HP
 Close valve HP_OUT
[19:46:08]: W2 OH-
 Open valve LRW2
[19:49:30]: 9244
[19:49:31]: 9272
[19:49:31]: 9281
[19:49:31]: 9287
[19:49:32]: 9291
[19:49:32]: 9296
[19:49:32]: 9298
[19:49:33]: 9300
[19:49:33]: 9302
[19:49:33]: 9303
[19:49:34]: 9304
[19:49:34]: 9306
[19:49:34]: 9305
[19:49:35]: 9305
[19:49:35]: 9305
[19:49:35]: 9304
[19:49:35]: 9306
[19:49:36]: 9304
[19:49:36]: 9306
[19:49:36]: 9305
[19:49:37]: 9305
[19:49:37]: 9305
[19:49:37]: 9306
[19:49:38]: 9306
[19:49:38]: 9305
[19:49:38]: 9304
[19:49:39]: 9304
[19:49:39]: 9304
[19:49:39]: 9305
[19:49:40]: 9303
[19:49:40]: 9303
[19:49:40]: 9303
[19:49:41]: 9304
[19:49:41]: 9303
[19:49:41]: 9303
[19:49:42]: 9303
[19:49:42]: 9304
[19:49:42]: 9302
[19:49:42]: 9302
[19:49:43]: 9304
[19:49:43]: 9303
[19:49:43]: 9302
[19:49:44]: 9302
[19:49:44]: 9302
[19:49:44]: 9302
[19:49:45]: 9303
[19:49:45]: 9301
[19:49:45]: 9303
[19:49:46]: 9301
[19:49:46]: 9301
[19:49:46]: 9302
[19:49:47]: 9301
[19:49:47]: 9301
[19:49:47]: 9302
[19:49:47]: 9300
[19:49:48]: 9300
