 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[19:59:27]: Forward liquid flow activated
[19:59:27]: AIR
 Open valve HP_OUT
 Open valve L_HP
 Open valve V24
 Close valve V24
 Close valve L_HP
 Close valve HP_OUT
[20:00:08]: W2 OH-
 Open valve LRW2
[20:04:15]: 8629
[20:04:15]: 8634
[20:04:15]: 8639
[20:04:16]: 8636
[20:04:16]: 8646
[20:04:16]: 8646
[20:04:17]: 8621
[20:04:17]: 8627
[20:04:17]: 8636
[20:04:18]: 8638
[20:04:18]: 8633
[20:04:18]: 8637
[20:04:19]: 8618
[20:04:19]: 8616
[20:04:19]: 8634
[20:04:20]: 8625
[20:04:20]: 8617
[20:04:20]: 8634
[20:04:20]: 8632
[20:04:21]: 8625
[20:04:21]: 8629
[20:04:21]: 8632
[20:04:22]: 8613
[20:04:22]: 8612
[20:04:22]: 8619
[20:04:23]: 8629
[20:04:23]: 8614
[20:04:23]: 8623
[20:04:24]: 8617
[20:04:24]: 8627
[20:04:24]: 8631
[20:04:25]: 8627
[20:04:25]: 8614
[20:04:25]: 8624
[20:04:26]: 8630
[20:04:26]: 8627
[20:04:26]: 8613
[20:04:26]: 8622
[20:04:27]: 8614
[20:04:27]: 8609
[20:04:27]: 8610
[20:04:28]: 8629
[20:04:28]: 8624
[20:04:28]: 8615
[20:04:29]: 8624
[20:04:29]: 8629
[20:04:29]: 8608
[20:04:30]: 8611
[20:04:30]: 8622
[20:04:30]: 8614
[20:04:31]: 8608
[20:04:31]: 8610
[20:04:31]: 8622
[20:04:32]: 8606
[20:04:32]: 8611
[20:04:32]: 8608
[20:04:33]: 8618
[20:04:33]: 8627
[20:04:34]: 8607
[20:04:34]: 8606
[20:04:34]: 8614
[20:04:34]: 8623
[20:04:35]: 8626
[20:04:35]: 8607
[20:04:35]: 8611
[20:04:36]: 8605
[20:04:36]: 8626
[20:04:36]: 8621
[20:04:37]: 8609
[20:04:37]: 8620
[20:04:37]: 8625
[20:04:38]: 8621
[20:04:38]: 8624
[20:04:38]: 8607
[20:04:39]: 8618
[20:04:39]: 8624
[20:04:39]: 8621
[20:04:40]: 8607
[20:04:40]: 8618
[20:04:40]: 8610
[20:04:41]: 8604
[20:04:41]: 8625
[20:04:41]: 8604
[20:04:41]: 8612
[20:04:42]: 8620
[20:04:42]: 8625
[20:04:42]: 8605
[20:04:43]: 8609
[20:04:43]: 8620
[20:04:43]: 8618
[20:04:44]: 8613
[20:04:44]: 8623
[20:04:44]: 8607
[20:04:45]: 8606
[20:04:45]: 8622
